SARS-CoV-2_L2FC,padj_SARS-CoV-2
RGS16,0.1212651566,0.896983723
KLF4,-0.1192977543,0.643873867
RNF213,0.139761652,0.2583182386
TNFSF9,-0.2322276607,0.4181180388
TRIM36,-0.0589593686,0.9556141341
ARRDC3,-0.1546813065,0.5781380498
ZNF844,0.2990157583,0.6161670049
ZFP36,0.1146476749,0.7463157154
KBTBD8,0.1814876605,0.8322465615
ATP5E,-0.3504654752,0.6087423234
ENC1,-0.1452086883,0.455502795
DPP4,0.1838088021,0.7915984709
PSMB10,0.2084219726,0.6793718448
RIPK3,0.3725327484,0.0765416411
DMRTA2,-0.0561450987,0.9474523369
CARD16,-0.3613474638,0.3531398204
CEBPB,0.3489328782,0.1276750307
TPRN,-0.4228108208,0.425356875
CACHD1,0.0973594782,0.8372708244
IER2,0.0529667182,0.889962829
IRX5,0.0945200647,0.896983723
PLEKHF1,0.3852053727,0.4477267231
METRNL,0.0326309491,0.9698185117
ZNF44,-0.0722418868,0.9226599782
CLCF1,0.2500576822,0.3686651445
PRICKLE1,-0.4503558874,0.2141946487
JUNB,-0.0138202207,1
INA,-0.3369707342,0.5338041394
SESN2,0.0773778917,0.8648382732
DNAJA4,0.1128545274,0.7606686313
HIST1H2AC,0.0418559683,0.9580815592
HIST2H2BE,-0.0605438263,0.891088257
CAPZA2,-0.3598465498,1
ZNF627,-0.1727093465,0.6591014952
RAB33B,0.3328857308,0.5138393946
CRISPLD1,-0.2828382637,0.6043887668
TRAM1,-0.2610204467,1
VPS9D1,0.0439991918,0.9513776112
PANK3,0.146062096,0.5135943469
HINT3,-0.3878905315,1
CEBPD,-0.3814466466,0.5094544894
IER5L,-0.2464934312,0.6080068925
SYNJ1,-0.0863986804,0.8222189455
AHCYL2,0.3002314159,0.0723242887
ARHGAP27,0.1357785692,0.6842972734
TMEM219,-0.0508044001,0.8760983923
HSPA8,0.1824646137,0.2573838783
SORD,0.1063331658,0.7306689844
GZF1,-0.1328639204,0.7344482962
LMO4,-0.3625130312,0.1206384975
IER5,0.078077566,0.7854348066
CHID1,0.0419057506,0.9213068348
RBM38,0.039390151,0.9555459938
SIX2,-0.2876879513,0.5085912396
MFSD12,0.0697496024,0.9120461289
LAMP1,-0.1289562986,0.4715722786
TMEM110,0.1426142327,0.6187730177
CLPTM1L,0.1931414069,0.2174115654
HEXIM1,-0.1354930171,0.5165902003
THOC3,-0.0235517353,0.9506808705
SRSF5,0.081844519,0.7365112359
DDX17,-0.079541983,0.6842972734
PDCD7,-0.1200371238,0.7631011294
EIF5B,-0.0070848551,0.9859679088
HMGB1,-0.1048997494,0.7014398558
KPNA2,0.2217443063,0.2141946487
TCEAL4,-0.1704577832,0.5032514445
RNF145,0.0770854031,0.69570092
GLUL,0.0561865044,0.8011829027
C7orf25,-0.128860656,0.7572392478
MGC57346,0.0002285565,0.9997732213
PTMA,0.2266499953,0.1055919872
STC2,0.2365501094,0.3919110201
PAICS,0.0146849394,0.9554467012
GNL3,0.0203336522,0.9682118504
LUC7L3,-0.1662437061,0.5809230765
SREBF1,-0.1300924117,0.7259403629
SPDL1,-0.0762183227,0.8560888539
KANK1,0.1513165289,0.4094756033
GPANK1,0.1157314447,0.740934353
PROSAPIP1,0.2407957958,0.496610174
IRS1,-0.2161686552,0.3186123746
C11orf95,-0.1826285826,0.5785854738
PLCXD1,0.0438220515,0.9325685294
CENPN,-0.1642161853,0.728130864
LINC00294,-0.1227374917,0.7522445058
GMNN,-0.0242772469,0.9659560459
C16orf88,0.1117745077,0.7084588732
FAXC,0.0242784741,0.9663280896
PRMT6,-0.1428421225,0.7843567304
HMGN2,0.1598114651,0.6024255628
TGFB2,0.1677513908,0.6194149246
STMN1,0.0865785214,0.7944436306
LIG1,-0.1025089117,0.8469060307
PSIP1,-0.2379137808,0.3728117681
MCM5,-0.0315633874,0.9556141341
CAPN12,0.279263426,0.4058378223
PTTG1,-0.1723401118,0.4555684798
CCDC34,-0.343880539,0.4287321046
GCNT3,-0.0555886936,0.9009419529
KIAA0101,-0.0521375831,0.9439100405
ZNF324B,0.0624311162,0.9325685294
CCDC18,-0.220009517,0.7285340487
NUF2,-0.2773928061,0.5632623252
DHFR,-0.1415079618,0.8007772791
TTK,-0.3401423296,0.5436266611
PRIM1,-0.279936175,0.6732558241
ASF1B,0.2358968314,0.6552114229
UPK3B,0.4303740449,0.4264829811
BUB1B,-0.0459299711,0.9341408131
ITGA7,-0.0373299143,1
PYGM,-0.0565130259,1
C20orf24,-0.1242351695,0.8939729218
MAFB,-0.1426716166,0.8769505704
CXCL11,0.2076212539,1
CCL5,0.0059385808,0.9956327219
BAMBI,-0.0463308079,0.9431158845
PTGER4,0.0678972074,0.9112999059
MYLIP,-0.4890721137,0.2331086792
PTX3,0.1924691108,1
ZC3HAV1,-0.0874845328,0.8126084308
HDAC9,0.2631063594,0.1623599282
TRAF1,0.1357887147,0.8527889955
HSPA1A,0.3035437377,1
PPAP2B,-0.3516455213,0.3474624781
KLHL15,0.0441368732,0.9568907438
CLU,-0.3308614697,0.1623295057
NR1D1,-0.1737082514,0.5759227683
REV3L,-0.3877032738,0.1803370339
DDIT3,-0.1477703463,0.6875928035
MAPK8IP2,0.1047009624,0.9121185349
MUM1L1,-0.5748018622,0.2620716414
DBC1,-0.1774844885,0.737469616
KIF17,-0.1894896002,1
SERPINB4,0.8143446732,0.0514918135
ERN1,0.4054138285,0.1837456656
THAP2,0.0028920226,0.9959357426
SLC2A13,-0.457671417,0.4442123509
FNDC3A,-0.1145355662,0.7712622795
LNX2,0.1226049757,0.6451749892
KITLG,-0.4025305724,0.1571250277
AOC2,0.0130963062,0.9848473443
CDYL2,0.1929503493,0.7943108607
ZNF441,-0.0686352796,0.9325685294
LMBRD2,-0.4296267411,0.30553708
LIMCH1,-0.510125766,0.1892011151
KIAA1644,0.4265756526,0.4806756048
ZNF217,-0.0224568403,0.9570004337
REL,-0.0795521406,0.8867289872
OVGP1,0.1278320616,0.874289144
NDUFA4L2,-0.0782400982,0.8572649002
FAM135A,-0.2175151386,0.611164313
FBXL17,-0.260350349,0.422461911
FOSB,0.45395886,0.429942673
C1orf51,0.1456224209,0.7723140237
FNIP2,-0.1244519279,0.6870287963
NRIP1,-0.0182326518,0.964318156
DNAJB9,-0.3208246171,0.4653451599
MANEA,-0.5320283634,0.0753137663
HIVEP1,0.1984285259,0.3206678902
UGT1A6,-0.0936513873,0.8797898574
ZBTB6,-0.1711642852,0.6525860507
SCAND3,-0.0401155015,0.954237321
DEDD2,0.2706201032,0.2270332786
RBMXL1,-0.1397592378,0.7088905725
PPP2R2C,-0.03046908,0.9663280896
TMPRSS2,-0.2867094835,0.4442123509
TRADD,-0.1167466438,0.8165207162
UHRF1BP1,-0.1669608382,0.6234739155
SMAD1,-0.0367721696,0.9252720066
AHR,-0.1379230955,0.4159224932
CST3,0.0472796712,0.8839623549
KDM6A,-0.1030149388,0.6614603832
FOSL2,0.1495177547,0.5538880906
SPATA2,0.2054716003,0.6926545083
TLN2,-0.1239932629,0.8752817645
DENND4A,-0.172605097,1
HSPA12A,0.2054968866,0.7116387955
TM9SF3,-0.2592281139,1
HSPH1,-0.1703980307,1
ACBD5,-0.0250298709,0.9554531789
NEK1,-0.1857374665,0.5598447995
ANO4,0.1279148523,0.829946475
PPIC,0.0286217352,0.9389671265
KIAA1199,-0.3340511358,0.0726920637
ZKSCAN5,-0.1680163626,0.6080937913
OLFM2,0.2778877693,0.6842972734
SPOPL,0.0595224547,0.9149162861
DIP2C,0.0051958809,0.9935825712
EPHA1,-0.0316651703,0.9431158845
GLS,-0.2112905361,0.4948377652
ATP9B,-0.1856068647,0.6753755375
CLTB,0.2040950675,0.2744793411
LYSMD3,-0.055339273,1
ZNF25,-0.1250154197,0.8210248283
GNS,-0.2252067592,0.0535519857
GUK1,0.2028862893,1
ZRSR2,0.102937134,0.7647223453
ZKSCAN2,-0.1393187803,0.7807073239
N4BP3,0.6969586696,0.0600423498
COL4A1,0.1355768459,0.3642562866
TSC22D4,-0.005282011,0.9912620254
IRAK4,-0.2559127122,0.4978255709
OSBPL8,-0.1376873669,0.7016812835
ZNF578,0.1502001608,0.8271068857
BTBD3,-0.2043032244,0.5057466866
DTX2,0.7239117398,1
MIIP,0.1109480661,0.8190789496
CDC42EP5,0.2091857176,1
MSRB1,-0.1346388653,0.7414686906
POT1,-0.406475367,0.1515464358
TOMM6,-0.0705621369,0.8234383423
ALG10B,0.0106327896,0.9922729081
ZEB1-AS1,-0.3968018786,0.5033339107
TMEM132A,0.4053930657,1
HPS5,0.1522553112,0.6385736375
WDR47,0.0477598855,0.8893085969
RABEP2,-0.0991208063,0.89038159
COL5A2,0.0967565547,0.6545000329
ARAF,0.0884309035,0.8537348255
ERGIC3,0.0915979956,0.6865375857
ZBTB5,-0.0507030898,0.887166364
QSOX1,0.2309027122,0.2594376061
LIX1L,0.3068605352,0.5653768847
TNFRSF10D,-0.2054358783,0.2330867129
MVP,0.1398871724,0.6597247372
RPL36,0.0223576698,1
PIGN,-0.0883572686,0.7943108607
L1CAM,0.2006678492,0.4997084022
PUS7L,-0.0489467816,1
SIRPB1,0.3562336796,0.3901356356
SLC35G1,-0.1691853372,0.8404996643
NUP160,0.0769866999,0.8582219667
AGL,-0.2491934642,0.1809984526
KIAA1109,-0.2204118173,0.0932287518
ITPR1,-0.298594123,0.270092979
RINT1,-0.0890207856,1
PFKFB2,-0.2744873683,0.1006561334
PFKFB3,0.2091438201,0.1676500675
ZNF558,0.1036903593,0.8234383423
FAM160A1,0.1780649949,0.496610174
OTUD3,0.1825109742,0.6780446507
BICC1,0.2741380692,0.5536137039
RHOA,0.0864694575,0.6686780335
MGMT,-0.0490679409,1
RBAK,-0.1159049015,1
ACADVL,0.1069087357,0.6819360104
LPIN2,-0.0281299936,0.954237321
ZNF778,0.0869572987,0.8882037921
ZNF616,-0.2387410031,0.5750821657
POLG,0.2048496485,0.1516352065
BRWD3,0.0105927573,0.9808120618
KCTD2,0.086364419,0.8126084308
GYLTL1B,0.454924776,1
GLB1,-0.1425230903,0.375483677
CCS,-0.0260017373,0.9663280896
FAM83G,0.4018253229,0.0683940302
HPS3,-0.0725159503,0.8670357655
KDM3A,-0.0352210646,0.89038159
PRDM10,0.1073506349,0.7329414322
SNX13,-0.1570808848,1
CST6,-0.2128121383,0.7828662535
FRRS1,-0.4687918572,0.1676500675
TMEM181,-0.0418786376,0.8893085969
ATP10D,-0.2091953099,0.134783107
ZNF699,0.0284724036,0.9687679773
BRAF,-0.128801996,0.736908483
OSBPL11,-0.1904691847,0.4509429083
AGPAT2,0.204306448,1
HDAC4,0.2984948568,0.4442123509
LRRC41,0.1199317653,0.5842244849
PTGR1,-0.0593569292,0.855484044
LOC389641,-0.0390600782,0.9689225142
PDSS2,0.0049757475,0.9930473137
METRN,-0.0044634482,1
NRD1,-0.0422112194,0.8670357655
FAM58A,-0.0502238831,0.9160905808
ENTPD5,-0.0533265857,0.9250901569
MZT2A,0.0621053426,1
NGLY1,-0.0786613233,0.8741711174
UBR2,-0.127763093,0.4915522783
LOC338799,-0.1278523743,0.8303939353
FKBP4,0.2398095782,0.1665361396
LAPTM4B,0.0256899919,0.9414095391
ZNF549,0.1597331785,0.7782119527
NENF,0.0848562178,0.8277527111
TMEM102,0.2138243846,0.606463953
LOC100506548,-0.063391942,0.8788364373
ZNF425,0.1364146057,0.8371962267
ID1,0.2399131069,0.4124437827
DHX16,0.0569929271,0.8752817645
JMJD1C,-0.284625736,0.1926196971
SSH2,0.0583964677,0.8740249078
UBR3,-0.2609298521,0.2297646073
RSPRY1,-0.048054532,0.8893085969
TST,0.3711558171,1
MFAP3L,-0.2916179971,0.6702465376
MRPL17,0.3110787008,0.1551932517
TSC22D1,-0.1928190172,0.1661776823
C17orf51,0.2388785646,0.5722802459
ARRDC4,-0.3183729988,0.0916263521
STUB1,0.0553681845,0.9002922622
ZNF391,-0.3712351556,0.3705666919
YTHDC1,-0.0698223884,0.7740280619
MAP3K6,0.2184440065,0.53548166
CEP350,-0.1615063764,0.4817979537
CSNK2A2,0.1148172417,0.6842972734
ANKS1A,0.2007317133,0.3187569067
CREBBP,-0.1086517471,0.5886607542
RALGAPA2,0.0494124434,0.8628034358
CLDN7,0.1430923687,0.606463953
RPL13,0.0827630714,0.7120022635
CHD2,0.0349488581,0.9042917797
FAM208B,-0.0719162599,0.864995855
CITED4,0.1067658607,0.7853187072
RPL35,0.1938250343,0.3200712201
FBXL6,0.1370792433,0.8436520581
MPZL3,-0.1498173592,0.6842972734
TCP1,0.0683364227,0.7498052702
MAN2B2,-0.0149250103,0.976309989
RB1,-0.1994730984,0.541999776
CHTF8,-0.023617145,0.9298966235
PAFAH1B1,-0.1271818107,0.6545000329
ISOC2,-0.0075156665,0.9912620254
HSP90AA1,0.1254716959,0.606463953
DDAH2,0.1973193935,0.6250449007
VAMP8,0.0131643502,0.9711253653
ZNF761,-0.2632818457,0.3901798075
NDUFB11,0.0990540183,0.8131610312
LRRFIP2,-0.0873646368,0.7208125898
EHBP1,-0.1023050299,0.7183098403
IRX2,-0.2264174254,0.5978097816
PTPRG,-0.0693279141,0.8752817645
DDI2,0.0093828941,0.9909606821
ZNF317,0.121647215,0.5759227683
NDUFA11,0.0823270651,1
PJA2,-0.0928557905,0.7101864786
CLASP2,-0.045813656,0.9108641168
RHBDD1,-0.1085275667,0.7815885362
ZNF596,-0.4349360851,0.4487508485
LINC00520,0.0956891489,0.855484044
DNAJC15,-0.1910316671,0.3888652295
EPS8,-0.3021456977,0.140186454
SIKE1,-0.1650633971,0.6554307105
AP4E1,-0.1560852958,0.6214789303
MR1,-0.0969976572,0.6626388561
APOOL,-0.1575103296,0.6842972734
PSMA4,-0.0999524221,0.7121958234
RUSC1,0.1364846431,0.6525313486
RGS19,0.1836137568,0.7507219001
MRPL54,0.2805046514,0.4213954187
S100A10,-0.0483886575,0.8927910766
PITRM1,0.0949486291,0.5885172754
C9orf89,-0.1073880188,0.8437838799
NDUFB7,0.1085751582,1
GAK,0.1363480106,0.571061235
NUP133,-0.2408840588,0.3901356356
MUL1,0.0521146822,0.8710014159
NCKAP5,-0.3518081846,0.1211694211
RPS8,-0.0421674959,0.872385373
ECHS1,0.1728881556,0.4358143575
STARD10,0.1694914272,0.4845644048
FDXR,-0.0879725126,0.906023095
DENND1A,0.0484271765,0.9283333425
SEC23B,0.1647547776,0.4369310969
ZNF621,-0.1620977839,0.6234739155
SKAP2,-0.1694844756,0.612134416
RALGAPA1,-0.0769970638,0.8483280671
LYST,-0.3526329968,0.1198540582
MBNL2,-0.3629107784,0.1399015589
LRCH4,0.0128777428,0.9808120618
POFUT2,-0.0071128678,0.9873325622
KCNAB3,0.2876954391,0.704558759
S100A13,-0.0417404417,0.8992621111
KDM1B,-0.0653488499,0.8545345218
CCZ1,-0.0730095055,0.9298966235
PTPN21,0.1420883261,0.5576965174
ATP5D,0.0638200634,1
UBXN1,0.1530367637,0.5279924908
SMIM5,0.0149179663,1
MLEC,-0.1101701061,0.5985846114
COX5B,-0.0574720619,0.8761075982
ANKRD36BP1,0.1012231086,1
MTMR4,-0.0535464059,0.878935493
PCF11,-0.1660523809,0.3157981965
RPLP2,0.2650416511,1
SPATA2L,0.0943082627,0.9173716935
APRT,0.1513044321,0.6333596288
MOSPD2,-0.1565836134,0.6744941398
PKP3,0.070614395,1
FBXO2,0.0929776409,1
DNAJC13,-0.0887224823,0.7511435798
TENM4,-0.2553567038,0.1942644417
WDR11,0.0328130237,0.9068271369
EDF1,0.1599592052,1
DICER1,-0.1775285343,0.3882465234
PDF,0,1
ABHD12,-0.0595450617,0.896983723
DOK4,0.2445613651,0.4101005019
MDFI,0.0202369707,1
CUEDC2,0.0814149817,0.7605299631
SAP18,-0.0409507418,0.9013967748
STXBP5,-0.0273950389,0.9428681122
ZBTB39,0.0940614586,0.8088573744
ABHD16B,-0.0750006719,1
MAP1LC3A,-0.0196485683,0.9802686554
VSTM2L,-0.2056302174,1
ABCA12,0.0109198906,0.9765044926
ATF6,-0.1085073322,0.6095398461
LAMB1,0.166959655,0.220756668
TSTD1,-0.0685950402,0.9111710146
ZNF525,-0.2896128215,0.3686651445
LMBR1,0.1451282606,0.6191162225
PTPN3,0.0534209704,0.8357354995
ZNF354C,0.0138795694,0.9886225047
RPL11,0.0721227056,0.7572678361
FBXO46,-0.022484124,0.9687679773
GSTCD,0.0414169203,0.9317114528
ZNF776,-0.1008235094,0.7522054484
LAGE3,0.1600963526,0.8420025944
AP2A2,0.0741192159,0.8314610263
FKBP1B,0.1289818235,0.7943108607
SLC33A1,-0.1254133405,0.6371714307
GTF3C3,-0.0492433549,0.9078128045
TNIK,-0.3213304933,0.213842281
LAMTOR2,0.2623812103,0.3768985229
FAM212A,-0.1071158195,0.8875208668
TUSC1,-0.1052076613,0.8937734503
MYO9A,-0.080193333,0.8289847375
EIF4G3,0.1508274597,0.366979843
GALNT7,-0.2019298681,0.3078511781
SLC16A3,0.3152441849,1
SLC2A3,-0.1009569391,0.8710042183
ZDHHC5,0.0858853913,0.7244290083
RPS6KA2,0.1891323304,0.6755524951
LSM4,0.083963448,0.7183098403
ZFX,-0.0441444213,0.8947500872
PRSS12,0.1088497086,0.6234739155
POLR2H,0.1335529225,0.7379913169
ZMYM2,-0.2383648643,0.3157782361
GMCL1,-0.2224715694,0.4973259245
AES,0.0618220813,1
XPO1,-0.3403357891,1
RPL27A,0.0877676429,0.7595299853
SSU72,0.0334142124,0.928288255
IFI27L2,0.1867141327,1
RPS9,-0.0453111911,0.9029855279
LDOC1L,0.0773750279,0.8053763539
NIPAL3,0.0776055452,0.6949609563
VAPB,-0.0540867738,0.8788364373
ZNF518A,-0.3807570195,1
RPS20,0.0368769728,0.89038159
MAPKAPK5-AS1,-0.0917375783,0.8788364373
UROS,-0.0387248331,0.9282536298
NDUFA3,0.0422778653,0.9431158845
NDUFS6,0.1670640106,0.4106862486
TRNP1,-0.1056015852,0.7379913169
REST,-0.1883287998,0.4176050446
PCDHGC3,0.0824078887,0.8506574997
TRAF7,0.1281016339,0.7206516077
RPL24,0.1390846739,0.4896575339
ZGPAT,0.0255715147,1
ZNF322,-0.3638451304,0.4101005019
IGSF8,0.3185718919,0.2074881182
RPL35A,-0.0498190197,0.8699055346
GEMIN7,0.2510746669,0.4803448519
PPIP5K2,-0.2884780793,0.4094885657
PHPT1,-0.003688605,0.9930473137
WDFY3,-0.0891752966,0.6620618555
EGFR,-0.0123773107,0.9612292814
ZNF593,0.0434572136,0.9427463449
PLCB4,-0.2491870921,0.2375442676
SCAND1,0.2915660686,1
MED23,-0.0789759223,0.7943108607
RPS7,0.1093558164,0.7071173381
GPX4,0.1101476244,0.7419963509
ZFYVE9,-0.0117931777,0.976309989
C1orf86,0.0002154443,0.9998294758
IGF2R,-0.0110094335,0.9743966531
STEAP3,-0.1181154593,0.7522938136
MRPL32,0.2123804182,0.1621106905
HEBP2,-0.102048614,0.7463033918
UQCRQ,-0.1080972172,0.7414686906
GTF2I,-0.0014383985,0.9964631615
NMT2,-0.1444325683,0.6842972734
RPTOR,0.0986471188,0.8351638923
ERCC6L2,-0.0206399013,0.9802686554
HSPG2,0.103743727,1
UBR1,-0.0528911785,0.9132084192
TNNT1,0.3238207158,0.1397875345
ZNF813,-0.4660656339,0.2778421922
ZNF302,-0.3467657361,0.30553708
KLHL20,-0.1301266826,0.5960465474
FAM173A,0.2706124942,0.7387848126
DGCR6L,-0.1591556935,0.8064448676
IFT43,0.1135850879,0.7470971514
AIM1,-0.0968171196,0.5364924587
CUL3,-0.0616071553,0.8485387246
GALNT2,-0.0733087524,0.703805236
ZMYM4,-0.0852849921,0.75920843
PQLC1,-0.010542867,1
FAM120AOS,-0.2380617537,0.2567287368
DNAJB11,0.1179795686,0.6016158306
PLCD3,-0.1088931098,0.7088905725
VPS13A,-0.1238650298,0.6929688709
MVD,0.1944123029,0.5960465474
VPS29,-0.0287437798,0.9323752107
FOCAD,0.1406358696,0.4477953597
SCRN1,0.0186555593,0.9568907438
UBE2S,0.176454327,0.624451088
TFG,0.0400913276,0.8752817645
KDM5B,0.0126928277,0.963732302
ECT2,-0.0306591485,1
PFDN5,0.0808594808,0.8468551573
FAM120A,0.0475638207,0.8752817645
MBD3,0.0814766822,1
INTS10,0.1159753598,0.5679698502
GALNT10,-0.0134165228,0.9729910949
RPLP1,0.051178136,1
DCTN5,-0.0697294021,0.7942483659
INPP5E,0.2883559209,0.4173568588
POLR2M,-0.2335396895,0.4726441144
PYCARD,-0.033879246,0.9570004337
HDLBP,0.045257024,0.8389663588
C7orf73,-0.1653985207,0.3771265728
ASCC3,-0.0714386063,1
KIAA0355,-0.1010388017,0.8234383423
CLDN4,0.3514777868,1
DNAJB2,0.0067390587,0.9825506105
VPS13B,-0.1239066391,0.6006211149
ZDBF2,-0.2945893824,0.3901061347
ZNF134,-0.063239003,0.8576304547
FKBP9,-0.0282116827,0.9113260645
PRDX5,0.0462801643,0.891088257
SOX15,0.15333835,0.5369246591
STX18,0.0113088641,0.9788607615
SUPT4H1,0.0001644733,0.9997732213
ABCB7,-0.0562381055,0.89038159
ASXL2,-0.0698959628,0.813799852
IKZF4,-0.0636740271,0.9265442048
SARNP,0.0652311559,0.816376195
NDUFA7,-0.0348831819,0.9389671265
CDC42BPB,0.1005793521,0.6793718448
ARL6IP4,0.1402417724,0.5561709133
XPO5,0.2239846881,0.1954902771
BTAF1,-0.1299741357,0.6658807753
COX4I1,0.2079224699,0.0805613685
PTPN4,-0.4328568366,0.1067569995
IRF5,-0.0231512,0.964318156
ATP2B1,-0.0275057394,0.9422398119
RBM33,-0.0300546421,0.9187037683
ZNF646,0.036147117,0.9325685294
B3GALT6,-0.1425988977,0.7415041754
FKTN,-0.2334558246,0.4662887525
KLHL9,-0.1545817759,0.6409771263
CCZ1B,-0.0758449061,0.864995855
BAIAP2,-0.1083231823,0.8190789496
FEM1B,-0.0103807324,0.9802686554
CSTF3,-0.0744483822,0.8710298399
ENAH,-0.0802112543,0.6379970412
PIGS,0.1014639393,0.7574270679
ATP6V0A1,-0.0817349425,0.6510428106
TRAPPC8,-0.2920105234,1
CHCHD2,0.0754056384,0.8110650114
SLC4A11,0.2961818477,0.0802662207
RPL15,0.0607582909,0.7623268636
RPL12,0.1238232047,0.6811607463
GADD45GIP1,0.2552964929,1
KLHL12,-0.0862553743,0.8380993959
C2CD2,0.0209667382,0.9663280896
DYNC1H1,0.1502233356,0.3162624895
ETV5,0.0338900384,0.9431158845
C17orf96,0.0651332215,0.8960634429
MYOF,-0.019364279,0.9428681122
FOXJ2,-0.0156042397,0.963732302
C7orf41,-0.1097005057,0.7818425234
ZKSCAN8,-0.1976881943,0.4930687334
MBTPS1,0.1737300884,0.2299715362
FAU,0.0021722778,0.9945873913
TAF10,0.08308631,0.7606704224
KIAA0196,-0.0481419883,0.89038159
CDK8,-0.0194047159,0.965365087
YDJC,-0.076175726,0.8893085969
GPX1,0.0980240735,1
SERPINB10,-0.1804867092,1
GUF1,-0.2116109075,1
FAM32A,0.0738634643,0.722635198
PCYT1A,-0.1207926654,0.6290098304
RPL7A,0.172323919,0.1583609526
HSPD1,0.0327266521,0.9405437762
FLG,0.0044695854,0.99537126
MEX3D,0.0577444076,0.9417923836
RPL5,-0.0266464308,0.930596874
RPLP0,0.0317867079,0.9346962039
IARS,0.0550720533,0.8622296161
TBC1D16,0.1182199571,0.6330480465
ZNF175,-0.0243660852,0.9663280896
IL17RE,-0.2714008959,0.3580876852
UBAC1,-0.016076182,0.9743966531
FAM96A,0.1375517596,0.6024255628
PHKB,-0.1120412184,0.6870287963
TBCEL,-0.1915962145,0.6618766509
ATR,-0.1512029455,0.6380609554
SLC6A6,0.1151252591,0.7101864786
TMEM191A,-0.1036211113,0.9173959976
SEC23IP,-0.065864828,0.8115637747
NUP155,-0.2100696217,0.4988578639
IKBKAP,0.021541414,0.9568907438
PPP1R14B,0.3609702857,0.140724332
C5orf24,-0.1180259201,0.7794663627
MMP24,-0.048157349,1
GUCD1,0.0123704991,0.9741964109
LGALS7B,0.0536113146,0.9439100405
PPP4C,0.0983565215,0.7687587005
LSMD1,0.0014440006,1
AKR7A2,-0.1634269703,0.4717980851
ATP1A1,-0.0952988815,0.565366814
RPL10,0.0366046932,0.8914717936
MLXIP,0.0534080874,0.8890588321
ROMO1,-0.0984108933,0.8258338977
TPGS1,-0.4038183174,1
RPS2,0.1154365074,0.6890880616
NCOA1,-0.1355560651,0.6457653204
GLTSCR2,-0.1499189358,0.5323021302
QPRT,0.4319085297,0.5057466866
ALDH2,0.2064248262,0.3392621877
C6orf132,0.149854964,0.4740863718
SETD7,0.0730749296,0.7183098403
DGUOK,0.0210224896,0.9523262647
ANXA2,0.228938056,0.1676500675
RAC3,0.0412446033,0.9431158845
PRDM4,0.0986651828,0.7266485713
HIF1AN,0.0173023331,0.9484686284
DHRS4,0.0661290685,0.9020992914
LTA4H,0.0740265359,0.6851476744
PDIA4,0.1321436443,0.3135597854
KIAA0586,-0.0982362241,0.8788364373
MSMP,0.0108061063,1
RUFY1,-0.1157536282,0.6427089556
TPBG,0.1851430478,0.2959985868
RPL29,-0.1117955453,0.5331818395
RPS6,0.0644317782,0.807981813
RPL6,0.1218935833,0.6108747379
SEC61B,0.073101792,0.8357354995
MBD5,-0.1321641668,0.6494947872
COQ10A,-0.3388008119,0.5713192978
POLK,-0.1930233105,0.6866858938
LMNA,-0.0538002011,1
RNF126,0.2286641078,1
ZNF81,-0.2251583972,0.5610323994
OBSCN,0.0816278465,0.8739020116
RABL6,0.06058173,0.8389533582
M6PR,0.0606385573,0.8311042037
RPS18,0.1543621548,0.364811662
FLNA,0.1272975787,1
CENPT,0.1693223102,0.4164181828
MAF1,0.1809222329,0.3447337618
SLC31A1,-0.0098935908,0.9825615078
ALKBH7,-0.4006994201,0.4545409928
TBX1,0.0448533297,0.9258471822
TANC2,0.1249248622,0.4640466575
RPL4,-0.0066898782,0.9843520732
PDE4DIP,-0.1822352749,0.3705666919
MYPOP,0.0903817086,0.8978702745
NT5C3B,0.1181016818,0.6696660386
ZNF542,0.0959368809,0.7818425234
ATP7A,-0.4429360577,0.0610492802
ATP5J,-0.1503937027,0.5652035815
LOC81691,-0.2197722546,0.780645182
HES7,-0.152686549,0.8729231425
ZNF672,-0.091737458,0.8323904841
NDUFV2,-0.014206768,0.9604451072
SYF2,-0.1139573606,0.5315865315
PEX5,-0.0040904884,0.9943267095
NTAN1,-0.0442463736,0.8839623549
HERC3,0.0864991603,0.7673558497
TRIP11,-0.2488868805,1
HSPA5,0.0139238677,0.9682118504
NOTCH2,-0.0089393525,0.9713643963
PTDSS1,-0.0996275741,0.6755524951
RPS23,0.0495420711,0.8889280375
COX19,0.0658289089,0.8608087684
GPR107,0.0003801643,0.9989043137
HAGH,0.2584319047,0.3206678902
ZNF473,0.1919497604,0.5603245386
CMC1,-0.2532358182,0.6633745108
SNX19,-0.0867206235,0.6759847612
UBN1,0.0539346945,0.8320841401
TRIM11,0.2248138952,0.2126945822
ZNF207,0.0736140291,0.7428175876
MRPL16,0.181662031,0.4782650391
FAM171B,-0.5282220815,0.0796846138
SLC30A6,-0.1555781596,0.6909030292
MTIF3,-0.086718747,0.8318533905
ZZZ3,-0.1241232797,0.6716379668
SLC25A6,0.0434858237,1
TBC1D5,-0.2504223871,0.0521498568
EMC1,0.1117082006,0.5326089655
MED1,0.0075955359,0.9802686554
TET3,-0.039135562,0.9325218932
PSMA1,-0.0912662445,0.7359705487
ATRN,-0.1257061701,0.4410162849
CLCN3,-0.2195286609,0.2520854386
PRKAB2,-0.2839126955,0.2074113385
HEATR5A,-0.044374858,0.9016079707
MRPL46,0.2220037064,0.4848516018
