IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
SLITRK2,0,-0.129980057,-0.358095566,-0.16596,0,0.647887981,0.493987363,1,1,1,0,1,1,1
SLITRK3,0,0,0,0.19707,0,0,0.297469732,1,1,1,0,1,1,1
SLITRK4,0.30596,0,0.193000226,0,0,-0.143820366,-0.144093974,1,1,1,0,1,1,1
SLITRK5,-0.24714,-0.094705274,-1.349120091,0,-0.24882,-0.933957102,-1.008947604,0.788900432,0.850828926,0.000606171,0,0.168545987,0.021049539,0.008793861
SLITRK6,0.06403,0.441135575,-1.979669903,0.04327,0.12562,-1.650056895,-0.523164375,1,0.552440816,1,0,0.686007185,1,0.171301748
SLK,0.51159,1.018310298,0.598717178,0.39707,0.20152,1.047674833,1.131610211,0.390097666,0.157168944,0.412236248,0.063016893,0.048373835,2.97E-45,7.92E-35
SLMAP,0.28841,0.864216629,1.118371651,0.92777,0.47955,1.158340317,1.18489302,0.64347779,0.223925479,0.097216035,9.67E-10,4.01E-06,7.44E-44,3.55E-58
SLMO1,0.23005,-0.691364294,-0.697408204,-0.0548,0.92173,0.814407814,0.986960555,0.804162895,0.220069496,0.19784292,0.866803143,2.44E-06,0.017682157,0.004461451
SLMO2,0.91711,0.853258514,0.585522423,0.43935,0.62353,0.468297661,0.425361377,0.000703198,0.140434872,0.317519863,0.019119131,1,0.015371577,0.015124051
SLMO2-ATP5E,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLN,0,-0.40139602,-0.822659524,0.15077,-0.01807,-0.269891839,-0.443352944,1,1,1,0,1,1,1
SLPI,-0.02971,-1.233146398,-0.962716831,0.28659,0.60726,-0.778751019,-1.847885288,0.977915229,1,1,0.027961407,0.005433012,7.40E-05,1.89E-18
SLTM,0.09967,0.821763414,0.545014151,0.21147,-0.21396,0.335598428,0.371463467,1,0.148260375,0.31808972,0.082844953,0.070848094,1.86E-11,0.00024642
SLU7,0.23881,0.563787102,0.610897762,0.77383,0.2543,1.254553024,1.276104667,0.717074957,0.020565413,1.59E-07,1.08E-08,0.001114504,2.03E-35,8.30E-36
SLURP1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLX1A,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLX1A-SULT1A3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLX1B,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLX1B-SULT1A4,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SLX4,-0.16138,-0.337836673,-0.252437389,-0.10703,-0.59813,0.165182673,0.367063222,0.778654855,0.212068312,0.265787014,0.594238306,3.74E-08,0.583659755,0.173403587
SLX4IP,0.45461,0.266414054,-0.153115544,0.31013,0.58761,1.05364921,1.109544636,0.527173207,0.521609475,0.788231664,0.511805511,0.002590762,0.013259089,0.010830465
SMA4,-0.26856,0.174018409,-0.555216021,-0.05168,-0.0951,0.097173775,-0.019248823,1,1,1,0,0.840422836,1,1
SMA5,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMAD1,0.66726,0.686351977,0.467404289,0.3713,0.4098,1.267871309,0.700809617,0.154226787,0.372920003,0.579287126,0.047513502,3.16E-05,2.53E-13,0.000240883
SMAD2,0.4093,0.730313874,0.209405899,0.36008,0.15728,0.76397192,0.694318344,0.274305428,0.176340245,0.700546845,0.002169963,0.008491034,3.51E-15,9.27E-07
SMAD3,-0.35379,0.609077992,0.845865963,1.21451,0.73232,1.44985489,1.43993336,0.309110319,0.173302782,0.027197696,1.28E-32,1.56E-50,9.22E-81,3.16E-106
SMAD4,0.26371,0.544539669,0.014251274,0.34367,0.23972,0.509304961,0.456697952,0.57551773,0.379970452,0.98444238,0.007250918,0.005994317,0.000416338,0.000157335
SMAD5,0.06586,0.414459926,0.015415643,-0.18545,0.56487,0.211819224,0.362168849,0.900660585,0.484630366,0.982986171,0,4.70E-05,0.163169573,2.06E-05
SMAD5-AS1,-0.01598,-0.133088156,-0.810516348,-0.49786,-0.29901,-0.457238271,-0.070312275,1,1,1,0,1,1,1
SMAD6,-0.28939,-0.457848155,-0.813120415,-1.10612,-0.86001,-0.134202642,0.058550894,0.447135418,0.057086723,2.35E-05,1.95E-09,4.88E-33,0.460309959,0.729449746
SMAD7,-0.36984,-0.020452102,0.699568788,1.17494,0.37974,1.442328261,1.540796933,0.583331936,0.966045402,0.072147115,1.03E-19,0.002735008,6.30E-22,1.90E-33
SMAD9,0.40957,-0.090540342,0.0031317,-0.63192,0.71977,0.279849978,0.684003965,1,1,1,0.146820297,1,1,1
SMAGP,-0.20316,-0.363816385,-0.246102612,-0.36623,0.45051,-0.054379427,-0.253760864,0.801463125,0.552147942,0.720103664,0.009820408,2.27E-05,0.878126227,0.44379923
SMAP1,0.28442,0.367322138,0.501248893,-0.20595,0.07669,0.433306805,0.352053055,0.613559909,0.126846966,0.015910867,0.168817587,1,0.000191063,0.0051237
SMAP2,-0.28929,0.029613059,0.251984028,-0.06154,-0.18387,0.113843509,0.30449032,0.647243036,0.930848625,0.413994905,0.705721072,0.095340465,0.63711496,0.317297198
SMARCA1,0.18305,0.577025093,0.476901782,-0.03763,0.25534,-0.712591567,-0.868779298,0.769174243,0.443209597,0.564335994,0.856641718,8.44E-06,1.53E-10,4.71E-29
SMARCA2,-0.0721,0.35378155,0.495119006,-0.30596,0.02465,-1.303922672,-1.224303989,0.911028997,0.646892679,0.557079253,0.07541528,0.78717278,2.31E-19,7.55E-15
SMARCA4,-0.32203,-0.131976798,-0.27864762,-0.26206,-0.48871,1.911019556,2.02775244,0.604540169,0.713648648,0.436356565,0.023866907,2.53E-05,3.97E-34,1.59E-22
SMARCA5,0.29414,1.156672644,0.862245503,0.77907,-0.04211,0.644623945,-0.103596643,0.605103901,0.036589816,0.094007178,5.00E-08,0.646157029,5.33E-19,0.417701376
SMARCAD1,0.563,0.627112197,0.269285038,0.60472,0.31458,0.517969169,0.726585042,0.1662857,0.421157397,0.761980206,0.00740704,0.003157396,2.62E-06,5.42E-12
SMARCAL1,0.19771,-0.119972053,-0.323350669,0.04924,0.52332,-0.185027381,-0.430425158,0.707553097,0.796396654,0.499259842,0.72234895,6.14E-07,0.260380878,0.006724111
SMARCB1,0.69595,-0.680280037,-1.035834735,-0.27985,-0.72274,-0.426889636,-0.213913398,0.067395373,0.258921824,0.065663052,0.092995245,1.19E-20,0.00764975,0.137077444
SMARCC1,-0.14364,0.277436914,0.340593435,-0.02723,-0.00502,-0.259779915,-0.193896099,0.72004827,0.626342347,0.56844788,0.807003183,0.972190963,0.001558834,0.025982831
SMARCC2,-0.03583,-0.079074353,-0.382331287,-0.26123,-0.22372,-0.544555706,-0.403802087,0.939579616,0.633823038,0.005161884,0.007164764,0.000493116,1.17E-06,0.000383032
SMARCD1,-0.06106,-0.053403232,-0.135710473,0.2515,-0.12309,-0.12310315,-0.198558473,0.928227138,0.772286801,0.441319047,0.02796546,0.094684955,0.250726171,0.021329168
SMARCD2,-0.19788,-0.556348781,-0.794004961,-0.88873,-0.3562,-1.247461158,-1.016093953,0.636338171,0.214995916,0.047112271,1.44E-10,0.000289684,1.61E-34,2.12E-29
SMARCD3,-0.5864,-1.527551168,-2.004030362,-0.16965,0.00091,0.048427996,0.056067737,0.272693075,1,1,0.725419801,0.99391724,0.810594251,0.803322531
SMARCE1,0.38999,0.05771083,-0.477486751,-0.04759,-0.05462,0.230629116,0.270795751,0.491040669,0.882632435,0.127464829,0.66750045,0.422335954,0.003486165,0.002835378
SMC1A,0.05414,0.416017695,0.154376246,-0.54002,-0.935,-0.869417513,-0.841089232,0.937990095,0.575679676,0.860799838,0.000623042,8.33E-28,1.95E-10,3.59E-17
SMC1B,0.05844,-0.634294159,-1.009995147,0.0317,0.49586,-0.830806325,-0.082198524,1,1,1,0,1,1,1
SMC2,0.4766,0.391178808,-0.174562593,-0.21621,-0.46929,-0.988090353,-1.022926638,0.341235175,0.579944213,0.83070208,0.207643882,1.88E-08,6.16E-08,2.34E-08
SMC3,0.35739,0.678793742,0.259662636,0.18674,0.08097,0.954293507,1.095891156,0.581135337,0.365606547,0.756706849,0.271967822,0.499058393,1.74E-28,1.13E-19
SMC4,0.45711,0.605731453,-0.057708985,-0.21729,-0.25008,1.06127658,1.072094825,0.453039902,0.288017212,0.932103265,0.279922615,0.078528393,1.25E-19,7.15E-24
SMC5,0.27899,0.643971045,0.418757668,0.51013,0.31444,0.582239244,0.777258492,0.666741592,0.259189154,0.463000584,0.020580224,0.005610123,0.00030207,1.53E-10
SMC6,0.25664,0.737146344,0.047807095,0.28155,0.19863,-0.179143754,-0.143014059,1,0.246247764,0.951599263,0.115043316,0.094256965,0.111172987,0.216305592
SMCHD1,0.30469,0.589675946,0.395206702,1.11216,0.34311,2.004513289,1.956930727,0.580181086,0.459356493,0.67166367,0,0.000114645,4.93E-84,2.07E-76
SMCP,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMCR5,0.12364,0,0,0,0,1.033581108,0.827010591,1,1,1,0,1,1,1
SMCR7,-1.0418,-1.376672234,-0.82892885,0.23534,-0.83194,-0.260362354,-0.160416085,0.100023559,0.000970618,0.007656719,0.217008704,4.62E-10,0.35005257,0.556137796
SMCR7L,-0.0174,0.118055086,0.043308785,0.07059,-0.08056,0.361805332,0.546770287,0.983891068,0.70455818,0.888081672,0.61585507,0.500479538,0.014706708,9.49E-09
SMCR8,-0.42449,0.320738334,0.700239717,0.44029,-0.16157,0.189798799,0.178222165,0.309110319,0.616212813,0.274568704,0.022742286,0.101153739,1,0.102159133
SMCR9,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMEK1,0.39873,0.623966496,0.28257313,0.56818,0.22338,1.570755292,1.687722184,0.276227915,0.248472477,0.613326736,5.16E-05,0.001806579,4.37E-95,5.17E-172
SMEK2,0.34453,0.519841451,0.647635416,0.36536,0.65895,1.060194912,1.157675736,0.352922711,0.508042446,0.451786813,0.060053594,1.77E-13,2.57E-32,1.04E-84
SMEK3P,0,0,0,0,0.11831,0.171835371,0.247267041,1,1,1,0,1,1,1
SMG1,0.1231,0.596734151,0.599879345,0.44444,0.60895,0.815111047,0.807234533,0.803350429,0.443442589,0.481910824,0.026554402,1,5.82E-58,1.05E-53
SMG1P1,0.33218,0.543977074,0.745259008,0.71942,0.34829,1.174640404,1.580731731,0.644164693,0.394867972,0.250851561,0.000275803,0.043009751,1.77E-08,2.11E-16
SMG5,-0.42705,-0.423650846,-0.012751149,0.10796,-0.17163,0.112780169,0.129862005,0.392374505,0.292695667,0.977372389,0.358945807,0.10054666,0.248322047,0.170912163
SMG6,-0.27856,-0.18564547,-0.117533394,0.45755,-0.26444,-0.091989643,-0.066632809,0.52088816,0.397694095,0.58996943,0.010195992,1.94E-05,0.537140839,0.613901219
SMG7,0.09741,0.643571917,0.595874691,0.42602,-0.03282,0.469078206,0.46344866,0.843582436,0.198129364,0.198479238,5.69E-06,0.661771237,1.84E-05,1.54E-08
SMG7-AS1,-0.7831,-0.2657944,-0.620964746,0.82233,0.24111,1.225169536,0.970747725,1,1,1,0,1,1,1
SMG8,0.25667,0.374092023,1.028186035,0.36425,-0.29279,0.381485886,0.481928638,0.565197058,0.558930864,0.094478949,0.034425001,0.011375381,5.64E-07,6.53E-10
SMG9,-0.10347,-0.685362779,-0.860228449,0.10354,0.03071,0.086647894,0.16291061,0.835381914,0.308813751,0.194939719,0.55917092,0.725585538,0.551154702,0.331951986
SMIM1,0.05962,-1.640470937,-1.183686915,-0.47729,-0.20405,0.03522734,-0.067866602,1,1,1,0.23759333,0.615775374,1,1
SMIM10,0,0,0.412749921,-0.41131,0,0,0,1,1,1,0.318608209,1,1,1
SMIM11,-0.37653,-0.727049205,-0.88036492,0.05584,0.28635,-0.421834183,-0.081013748,0.491221492,0.196544687,0.102353707,0.821597277,0.039241136,0.108178628,0.720395275
SMIM12,0.40663,-0.597165868,-0.436416646,0.06906,-0.52505,-0.007427023,0.003009743,0.424993833,0.372375062,0.542639737,0.694549239,2.87E-05,0.965857925,0.984971346
SMIM13,0.63864,0.234208463,0.314832589,0.17846,0.50155,0.182840559,0.095290533,0.168922652,0.523123479,0.412039116,0.346991282,3.69E-06,0.132631356,0.449948255
SMIM14,-0.28887,0.146295351,0.083954139,0.4589,0.13296,-0.838692891,-1.317958087,0.595297006,0.799240411,0.901459197,0.003505575,0.318916596,1.87E-05,4.25E-11
SMIM15,0.76197,0.638119327,0.412055175,0.20643,0.44612,0.292785274,0.381247833,0.032240173,0.324909779,0.543638039,0.3878765,0.001888285,0.011535913,4.43E-06
SMIM16,0.27766,-0.933100809,-1.100574195,-0.30741,1.61534,0.207049283,-0.661549909,1,1,1,0,5.13E-08,1,1
SMIM17,0.09965,-0.207015152,-0.081461504,0.27561,-0.03118,-0.868758058,-0.009475998,1,1,1,0,1,1,1
SMIM18,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMIM2-IT1,0,0.358324143,0,0,-0.13651,0,0,1,1,1,0,1,1,1
SMIM3,-0.06052,0.216997406,0.525065132,-0.86762,-0.15953,-0.246903926,-0.27985213,0.954743482,0.627571477,0.207133582,3.31E-05,0.461284356,0.604657244,0.409140505
SMIM4,-0.07543,-1.33353013,-1.444146239,-1.00532,-0.98984,-1.747909452,-1.323459579,0.942604031,1,1,1.37E-05,4.16E-05,1.95E-07,7.34E-06
SMIM5,0.00386,-0.891111458,-0.757126065,0.89522,-0.7806,-0.174052594,-0.46168505,1,1,1,0.021951951,0.065485125,1,1
SMIM6,-0.75705,-1.437435321,-1.650459596,1.09517,-0.24777,-0.360072443,-0.688266557,0.310661369,1,1,2.54E-08,0.236945511,0.394336192,0.090343884
SMIM7,-0.13646,-0.73245119,-0.766237394,-0.40217,0.17085,0.415875205,0.410254565,0.836650026,0.210717528,0.170741175,0.002974494,0.25027749,2.66E-05,2.00E-05
SMIM8,0.52344,0.189050989,-0.283953934,-0.0375,0.00691,0.246162124,0.157204051,0.45134635,0.648805174,0.592346899,0.890754777,0.971444391,0.538443817,0.689317076
SMIM9,0.05121,0,0,0,0,0,0,1,1,1,0,1,1,1
SMKR1,-0.49716,-0.580085206,-1.382912215,0.02269,0.25322,-0.127647411,0.146329164,0.527832802,0.385226095,0.023264073,0,0.248160769,0.657939699,0.588278264
SMLR1,-0.06913,0,0,0.20429,-0.12712,0,0.982412052,1,1,1,0,1,1,1
SMN1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMN2,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMNDC1,0.72996,1.049198166,0.841884518,0.87245,0.44243,2.107000599,2.133253072,0.221252678,0.121475816,0.201477007,0,6.08E-05,5.05E-37,4.94E-77
SMO,-0.74145,-0.957866325,-1.043248983,-1.19372,-0.57076,-0.535061417,-0.780959646,0.054296824,0.027980618,0.00323607,3.34E-05,1.93E-15,0.004054378,6.05E-05
SMOC1,-0.05554,0.377021801,-0.601825514,0.33569,0.1173,-0.21100123,-0.345842467,0.936287602,0.221430007,0.010020843,0.006132902,0.501795582,0.494681796,0.167520286
SMOC2,0,0,0,-0.84424,0,0.207347835,0.117644383,1,1,1,0.001723615,1,1,1
SMOX,0.02482,0.474679671,0.87997807,0.77589,0.98554,0.612882245,-0.027007471,0.978413876,0.188999828,0.003466869,1.43E-06,2.51E-42,7.67E-19,0.85112804
SMPD1,-0.47873,-1.161226344,0.520381258,-0.13103,-0.57228,-1.037193304,-0.977442412,0.53013944,0.066686566,0.417969178,0.33243467,2.96E-05,7.82E-10,2.60E-10
SMPD2,0.13343,-1.02414186,-0.890366191,-0.55066,-0.3243,0.271049386,0.318130206,0.883803875,0.149056004,0.200668449,0.015789751,0.023830882,0.433813554,0.296192119
SMPD3,-0.37189,-0.420069785,-0.591729347,0.83332,-0.34494,0.598513031,-0.240837254,1,1,1,0,1,1,1
SMPD4,-0.20718,-0.263212788,0.000886375,-0.86847,-1.08448,-0.247973719,-0.250943767,1,0.550984162,0.998182664,2.70E-11,2.67E-45,0.030143965,0.028516487
SMPDL3A,0.10424,0.425514406,1.072323575,0.03816,0.30315,0.480253998,0.175242277,0.91021522,0.484915204,0.038420318,0.903615117,0.134853407,0.181881667,0.663281767
SMPDL3B,0.17829,-1.17402741,-1.961968278,-0.72424,0.16288,-3.173737263,-1.749614506,0.856234278,0.065982859,0.000606457,7.01E-06,0.404849011,2.21E-09,2.94E-06
SMPX,0,-0.017261754,-0.292997938,0.14915,0.20982,-0.390948993,-0.399558107,1,1,1,0,1,1,1
SMR3A,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMR3B,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SMS,0.25141,0.301794369,0.944305744,0.15131,0.57749,0.01824876,-0.24341128,0.543035132,0.383031728,0.000858728,0.147454439,1.55E-08,0.847710624,0.064037471
SMTN,-0.28917,-0.71899884,-0.075500253,-0.68968,-0.33333,0.550755597,0.274170605,0.613276478,0.279794211,0.924892114,1.32E-06,1,0.001649699,0.160586244
SMTNL1,-0.07966,0,0,0.10599,0,3.050508298,1.245162445,1,1,1,0,1,1,1
SMTNL2,-0.07966,-0.378327651,-0.294820588,-0.12465,-1.04612,-0.479577294,0.88203957,1,1,1,0,1,1,1
SMU1,-0.05038,0.031967899,0.025035445,-0.09338,-0.12288,-0.337715321,-0.442903465,0.921731289,0.917731831,0.944364553,0.474815653,0.146378648,5.76E-05,7.19E-07
SMUG1,-0.66433,-0.936739748,-0.997156407,-0.54476,-0.33821,-0.88479836,-0.601290618,0.343396043,1,1,0.000167829,0.000568364,5.10E-05,0.002003876
SMURF1,0.10608,0.722679713,1.03624655,1.10343,0.51674,1.515874613,1.542238519,0.838287808,0.051447622,0.000496589,7.23E-21,4.46E-13,1.42E-93,1.11E-77
SMURF2,0.41088,1.345699882,1.621283897,0.50216,1.26356,1.259984618,1.493923936,0.502128318,0.033635681,0.004212551,0.000991722,2.36E-76,3.52E-42,1.82E-67
SMYD1,0,0,0,-0.54835,0,0,0,1,1,1,0,1,1,1
SMYD2,0.23537,0.519406514,0.149332293,-0.23633,0.22325,-0.359687969,-0.519558126,0.594004326,0.19079508,0.707439581,0.049966793,0.041997032,0.02384945,0.005958164
SMYD3,-0.03468,0.080147235,-0.253024037,-0.06939,0.42579,-1.043364872,-0.299967626,0.962932134,0.837406423,0.551772335,0.744163002,1.10E-06,4.06E-06,0.185442821
SMYD4,-0.11445,0.105916038,-0.330502678,0.03754,-0.28335,0.162797886,0.108039335,0.851258962,0.675963765,0.212358209,0.879528359,0.002115291,0.486189427,0.625071084
SMYD5,-0.29097,-0.514138046,-0.776053849,-0.01855,0.03256,-0.362984975,-0.104871847,0.678974405,0.363367658,0.139693636,0.925354066,0.797397242,0.013625684,0.476179356
SNAI1,0.62875,0.015545788,1.374952103,1.01396,-0.06996,2.420478691,1.66174895,0.403406226,0.971052613,5.81E-06,0.026554402,0.77384318,3.39E-15,3.39E-07
SNAI2,0.04869,0.74322942,1.032567781,1.12754,1.48324,0.709613309,0.47143421,1,1,1,0,0.000351734,0.111953794,0.256277608
SNAI3,-0.53813,-0.267559726,0.014373067,-0.23681,-0.17775,0.385188763,-0.001865099,1,1,1,0,1,1,1
SNAI3-AS1,-0.43504,-1.118329292,-0.140310412,-0.9248,-1.05211,-0.191111693,-0.307183819,0.597976867,0.122527848,0.864532296,0.003363151,2.04E-05,1,1
SNAP23,-0.0015,0.58090528,1.456943614,0.09678,0.14235,-0.716544727,-0.782437853,0.998183477,0.379791727,0.013859556,0.585638134,0.146248475,1.66E-07,5.40E-06
SNAP25,0.73153,0.648545436,-1.396716556,-0.06478,0.47038,2.374637591,1.998445944,0.163169898,0.253231236,0.002494514,0.893952332,5.80E-09,1.39E-41,2.70E-45
SNAP25-AS1,0.04891,0.422481086,-0.2966637,-0.53964,-0.9111,0.407425494,0.203232853,1,1,1,0,1,1,1
SNAP29,0.04983,-0.212902944,-0.082124308,-0.19499,0.02057,-1.155878737,-0.801324647,0.947999087,0.603828788,0.862827237,0.112448887,0.841775271,4.97E-07,0.000115159
SNAP47,0.13953,-0.659628011,-0.877153768,-0.3152,-0.40027,-0.687218378,-0.449394687,0.804017541,0.301470253,0.15251123,0.039997005,1.20E-05,3.96E-05,0.002681674
SNAP91,0.07,0.080654312,0.821926447,0.1079,1.45989,-0.431355126,-0.160014011,1,1,1,0,0.000232041,1,1
SNAPC1,0.45618,0.909012411,0.918519833,1.03599,0.58211,1.232576311,1.078695611,0.435273293,0.00080443,0.000204841,2.10E-10,3.15E-06,4.77E-21,7.57E-22
SNAPC2,-0.36863,-1.126692214,-1.393114674,0.03817,-0.08872,-0.223974708,0.09379746,0.618560429,0.118762618,0.034099871,0.903925741,0.378393986,0.493913888,0.756056757
SNAPC3,0.18285,0.634963246,0.821806391,0.27087,0.43016,-0.114255493,-0.099052412,0.762790694,0.263697527,0.112665525,0.096498114,0.000480263,0.430575157,0.393885264
SNAPC4,-0.48332,-0.633455531,-0.671405627,-0.06243,-0.8204,0.913502623,1.177616301,0.4612097,0.295435407,0.252629624,0.786981393,6.92E-17,1.79E-10,1.99E-09
SNAPC5,0.08488,-0.018320804,-0.518998916,0.15338,-0.12615,-0.500476887,-0.261303793,0.911028997,0.951094455,0.043447733,0.362922705,0.362799278,0.009049297,0.12816287
SNAPIN,-0.13729,-0.687916782,-0.864239946,-0.91051,-0.98556,-0.071126119,-0.372686102,0.804129079,0.177441348,0.065639946,6.25E-12,7.20E-41,0.671787292,0.016140561
SNAR-A1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A10,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A11,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A12,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A13,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A14,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A2,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A4,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A5,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A6,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A7,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A8,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-A9,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-B1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-B2,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-C1,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-C2,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-C3,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-C4,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-C5,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-D,0,0,0,0,0.11217,0.202841882,-0.144093974,1,1,1,0,1,1,1
SNAR-E,0,0,0.149593464,0,0,0,0,1,1,1,0,1,1,1
SNAR-F,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-G1,0,0,0,0.30721,-0.12712,-0.143820366,0.326528901,1,1,1,0,1,1,1
SNAR-G2,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-H,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNAR-I,0,0,0,0,0,0,0,1,1,1,0,1,1,1
SNCA,0.16441,0.166978518,0.175632448,-1.30292,0.34849,-0.76093426,-0.488065141,1,1,1,5.94E-17,1,1,1
SNCAIP,0,0.093258646,0.444314041,0.86262,-0.36926,2.017756287,1.722638382,1,1,1,0,1,1,1
SNCB,-0.43928,-1.276541303,-0.921606956,0.16229,-0.95639,-0.790379695,-0.909401327,1,1,1,0,1,1,1
SNCG,0.45683,-1.175077253,-0.87832055,-0.5459,0.14046,-1.767774797,-1.05097241,0.539642729,1,1,0.033263891,0.490604983,1,1
SND1,-0.0906,0.147911049,0.630370625,-0.65058,-0.14521,-1.446726312,-1.437429695,0.839862613,0.432514795,3.59E-06,5.83E-10,0.001575197,2.14E-60,4.51E-129
SND1-IT1,-0.04191,0.205047792,-0.219136905,-0.10976,-0.0518,0,0.258906832,1,1,1,0,1,1,1
SNED1,0.2448,-0.186698995,0.29921582,-0.26652,0.78168,0.87798953,0.976375419,1,1,1,0,0.00394936,0.084056393,0.023359188
SNF8,0.19452,-1.260501833,-0.995928264,-0.40719,-0.40689,-0.747243385,-0.742685946,0.591716221,1,1,0.003588978,1.47E-05,9.03E-25,1.82E-25
SNHG1,0.30525,0.157678327,-0.668407026,0.01029,1.63128,2.081640851,2.135881178,0.53013944,0.684475436,0.073122418,0.953910912,4.91E-50,3.66E-147,1.87E-138
SNHG10,0.00975,-0.851517081,-1.443032734,-0.38379,-1.49681,3.322165504,3.384842859,0.989972688,0.20145775,0.017606298,0.251538888,2.69E-23,3.35E-120,9.90E-147
SNHG11,-0.3316,-1.198936275,-1.372715182,-0.20674,0.2451,0.866214192,0.966537844,0.704461383,1,1,0.321979696,0.110685051,0.000420216,5.79E-06
SNHG12,-0.65618,-0.596073552,-0.27313735,0.3426,0.50813,1.731319869,1.393682904,0.272802809,0.332702407,0.660819637,0.162932036,2.91E-05,2.33E-33,9.56E-14
SNHG15,-0.35286,-0.577162634,-0.963456311,0.03678,0.42906,1.552627695,1.552098422,0.630847725,1,1,0.858900323,1,4.50E-38,2.37E-46
SNHG16,0.02805,-0.570504944,-0.603609041,0.12471,0.73837,0.392767538,0.320268938,0.970084543,0.365777106,0.348571043,0.441904927,3.00E-26,7.16E-08,0.000603694
SNHG3,-0.08584,-0.453436518,-1.041212221,0.0096,0.04279,1.405457082,1.401306596,0.873447924,0.336273551,0.015493037,0.964068177,0.742158117,1.78E-21,1.32E-21
SNHG4,0.4242,-0.052271295,-0.24874754,0.11971,-0.5573,0.949945241,0.90971171,0.554254609,0.930959842,0.702611906,0.710261704,2.51E-05,7.99E-07,1.55E-06
SNHG5,0.37729,-0.895272691,-1.303354077,-0.04596,1.06128,-0.168523437,-0.420695056,0.294966802,1,1,0.777721882,3.48E-12,0.094517372,4.88E-06
SNHG6,0.16969,-0.508603989,-0.946857129,-0.22854,0.29896,-0.011656156,-0.177993816,0.750469743,0.455471371,0.165298572,0.31556894,0.001374308,0.945669064,0.117315346
SNHG7,-1.21282,-1.274401644,-1.297196616,-0.45814,0.71709,0.358819542,0.487438189,1,1,1,0.037868085,1.40E-11,0.090140509,0.002118842
SNHG8,-0.19878,-0.519272333,-1.217091861,0.01959,1.42099,1.014657277,0.959587875,0.732451471,0.441172433,0.062106449,0.925845065,9.19E-25,2.06E-17,1.09E-12
SNHG9,-0.51858,-1.266401138,-1.425302789,-1.1192,-0.8715,0.310491441,-0.383615198,0.526776318,1,1,0.00164016,1,0.196988221,0.196260849
SNN,-0.76775,-0.888282538,-0.640229528,-0.18112,-0.19617,-0.450694698,-0.310878505,0.2443083,0.025997085,0.029108265,0.271621124,0.272685979,0.025430917,0.12352451
SNORA1,-0.24904,1.259861751,1.286011991,0.24992,0.31669,1.251982886,1.001489504,1,1,1,0,1,1,1
SNORA10,0.14947,-0.738798358,-1.331076288,0.43477,-0.19485,0.929098275,1.172529117,1,1,1,0,0.650320735,1,1
