log2FoldChange,padj
LOC100507117,-1.1468303589,NaN
ASAP1-IT1,-0.4351782,NaN
ADCY8,-0.6574757061,NaN
EFR3A,-0.3873575632,0.7927685099
OC90,-0.1797948016,NaN
HHLA1,-0.0362339798,NaN
KCNQ3,-2.1089707147,0.1379745438
HPYR1,-0.0362339798,NaN
LRRC6,-1.0636870367,NaN
TMEM71,4.1042337209,1.40E-08
PHF20L1,0.6465125051,0.676938317
TG,1.69681621,NaN
SLA,-0.1485449952,0.9023753302
WISP1,-0.5102511331,0.7758787255
NDRG1,-2.7249419869,0.0021465611
ST3GAL1,-1.7706515393,0.113472587
ZFAT,1.3954988626,0.262111024
ZFAT-AS1,NaN,NaN
MIR30B,-0.0247642211,NaN
MIR30D,NaN,NaN
LOC286094,NaN,NaN
KHDRBS3,-3.0620331252,0.0244449296
FAM135B,-0.0127306013,NaN
COL22A1,-0.819136626,NaN
KCNK9,-0.1643613479,NaN
TRAPPC9,-2.5826353269,0.0610888502
CHRAC1,2.0655207871,0.0257519161
AGO2,-0.0408843593,0.9806522252
PTK2,-0.9888133666,0.3648722177
DENND3,-2.1076648745,0.0436862148
SLC45A4,0.4822744349,0.77066943
LOC731779,-0.31190541,NaN
GPR20,-0.3572077897,NaN
PTP4A3,-2.1695422591,0.0987901418
MROH5,-0.677225459,NaN
MIR4472-1,NaN,NaN
LINC00051,NaN,NaN
TSNARE1,-0.874195361,NaN
BAI1,1.7639860218,NaN
ARC,-3.1216909865,0.0200915933
JRK,-1.2766137235,NaN
PSCA,-0.3144799852,NaN
LY6K,-1.3695902975,NaN
LOC100288181,-1.3784875169,NaN
THEM6,-1.557019595,NaN
SLURP1,NaN,NaN
LYPD2,NaN,NaN
LYNX1,0.6544304122,0.7106893092
LY6D,-0.0577779504,NaN
GML,NaN,NaN
CYP11B1,NaN,NaN
CYP11B2,NaN,NaN
LOC100133669,-0.4321737102,NaN
LY6E,2.1941943049,0.0075931087
C8orf31,-0.7204852825,NaN
LY6H,-0.7506318512,NaN
GPIHBP1,-2.3703272038,0.090309554
ZFP41,-1.3328465081,NaN
GLI4,-1.6941433622,NaN
ZNF696,0.0534675642,NaN
TOP1MT,-1.9974036922,0.1261622654
RHPN1-AS1,-0.1054558736,NaN
RHPN1,0.2285403868,0.8947911401
MAFA,-0.7425166041,NaN
ZC3H3,0.9721331047,0.4042424844
GSDMD,-1.6884973773,0.1165072895
MROH6,-1.0864840098,NaN
NAPRT1,-0.1379127504,NaN
EEF1D,-1.7720340585,0.0508441808
TIGD5,-1.0028133404,NaN
PYCRL,-1.5353518822,NaN
TSTA3,-1.3050834573,0.2367319351
ZNF623,-1.4419855436,NaN
ZNF707,-2.0646534953,NaN
BREA2,-0.1790699483,NaN
CCDC166,-0.0127306013,NaN
MAPK15,0.3097119222,NaN
FAM83H,-1.6921463464,NaN
MIR4664,NaN,NaN
LOC100128338,-0.7643412516,NaN
SCRIB,0.5781114523,0.6939100953
MIR937,NaN,NaN
PUF60,-2.0207006051,0.0275182771
NRBP2,0.3094435798,0.8398972067
EPPK1,-1.4090561792,NaN
PLEC,-1.2049887951,0.1987025737
MIR661,NaN,NaN
PARP10,0.8100526051,0.5356102713
GRINA,0.9609322924,0.2611056948
SPATC1,1.1483494333,NaN
OPLAH,-0.3587536801,NaN
EXOSC4,-2.2587501659,0.0533662609
GPAA1,-1.806408783,0.141616451
CYC1,-2.4112607202,NaN
SHARPIN,-0.6808196153,0.6279021301
MAF1,-3.6313301345,0.0012286391
KIAA1875,-0.4811276108,NaN
FAM203A,-0.2697776571,NaN
MROH1,-2.2464446651,0.0852434001
SCXA,NaN,NaN
SCXB,NaN,NaN
BOP1,-1.1659657815,NaN
HSF1,-1.8977203672,0.092333291
DGAT1,-1.3187245997,0.318989168
SCRT1,-0.0232011249,NaN
TMEM249,-0.1634306134,NaN
FBXL6,-2.6318029762,0.0539832892
SLC52A2,-2.1513807752,0.076949761
ADCK5,-1.5904695674,NaN
CPSF1,-2.1070996209,0.0783414004
MIR939,NaN,NaN
MIR1234,NaN,NaN
SLC39A4,0.6649039689,0.6461907209
VPS28,-2.7494327996,NaN
TONSL,-0.7530665925,NaN
CYHR1,-2.8724948279,0.0361449712
KIFC2,2.287088248,0.0720460395
FOXH1,NaN,NaN
PPP1R16A,-2.0860137267,NaN
GPT,-0.2203380965,NaN
MFSD3,-0.4445150003,NaN
RECQL4,1.6363996863,NaN
LRRC14,-2.1607662485,NaN
LRRC24,NaN,NaN
C8orf82,1.9807696354,0.0863401805
ARHGAP39,-0.920317832,NaN
ZNF251,-0.8807462346,0.5202128823
ZNF34,-0.4735539434,0.7739183893
RPL8,-1.6095623312,0.0289981235
ZNF517,-0.7122570144,NaN
ZNF7,-1.0775578813,0.3750742387
COMMD5,-1.2415707835,0.2877539821
ZNF250,0.582243881,0.6735584852
ZNF16,-2.1309737793,NaN
ZNF252P,-0.3989968397,0.8113477182
TMED10P1,-0.5806140517,NaN
ZNF252P-AS1,2.4859791978,0.0702357603
C8orf33,-2.0951736559,0.0455231382
DDX11L5,-0.0127306013,NaN
WASH1,-1.7082953021,NaN
FAM138C,-0.0127306013,NaN
FOXD4,-0.3555601858,NaN
CBWD1,-0.5323004209,0.701717064
C9orf66,5.2817671082,3.33E-08
DOCK8,0.9846923434,0.4834792348
KANK1,-1.1508385771,0.3268994582
DMRT1,-0.0441911372,NaN
DMRT3,-0.0127306013,NaN
DMRT2,-1.2419900309,NaN
SMARCA2,-0.0696648932,0.9657818651
FLJ35024,-0.4935888349,NaN
VLDLR,-2.4179035733,0.0799925739
KCNV2,-0.0872912526,NaN
KIAA0020,-1.4158981906,0.2342265546
RFX3,0.6906985386,0.648214803
GLIS3,-1.0015345137,0.5048321469
GLIS3-AS1,1.8742625851,NaN
SLC1A1,-0.783508226,0.57901892
SPATA6L,-1.8044056315,NaN
PPAPDC2,-1.2483912336,NaN
CDC37L1,-0.3811369792,0.7973032933
AK3,0.4460272251,0.7009037283
RCL1,0.4405552738,0.7058373306
MIR101-2,-0.0127306013,NaN
JAK2,1.2903357468,0.1528265451
INSL6,NaN,NaN
INSL4,NaN,NaN
RLN2,-0.0679534862,NaN
RLN1,-0.0965089511,NaN
PLGRKT,0.5655024836,0.6413427348
CD274,1.1380833564,0.426401512
PDCD1LG2,1.4608414981,0.1733506331
KIAA1432,-1.6528172691,0.1560696332
ERMP1,-0.2883645423,0.8457693518
MLANA,0.6560170195,NaN
KIAA2026,-0.8828417012,0.4485816519
MIR4665,NaN,NaN
RANBP6,-0.7772177249,0.5671731123
IL33,-0.6187682311,0.6083696444
TPD52L3,-0.1141508788,NaN
UHRF2,-1.2879820691,0.2417599795
GLDC,-0.6867847455,NaN
KDM4C,-2.6848092572,0.0341856425
C9orf123,0.4080187368,0.751829197
PTPRD,-2.4594726443,0.0732615498
TYRP1,-1.4551760454,NaN
LURAP1L,-2.3204488949,0.0755683162
MPDZ,-0.3484848468,0.8016328309
FLJ41200,-0.2588636934,NaN
LINC00583,NaN,NaN
NFIB,-1.2689416558,0.3070445548
ZDHHC21,-0.8646705503,0.5255110903
CER1,NaN,NaN
FREM1,-1.259616361,NaN
LOC389705,-0.1364887046,NaN
TTC39B,1.5589921917,0.2119075636
SNAPC3,-0.628224306,0.6548413807
PSIP1,-0.6125988664,0.6832793696
CCDC171,-0.6452287181,NaN
C9orf92,NaN,NaN
BNC2,-2.2246784694,NaN
CNTLN,1.0760128615,0.4355715998
SH3GL2,-0.7755306766,NaN
ADAMTSL1,-1.9504032244,NaN
MIR3152,NaN,NaN
FAM154A,-0.0984150889,NaN
RRAGA,0.1788204073,0.8655833232
HAUS6,-0.18165806,0.9100552163
SCARNA8,NaN,NaN
PLIN2,-1.2923063377,0.2376290282
DENND4C,-3.0114169177,0.0147161687
RPS6,-0.7474856741,0.3173721606
ACER2,-0.9066210894,NaN
SLC24A2,-0.0984150889,NaN
MLLT3,0.7615707154,0.5284448409
MIR4473,NaN,NaN
MIR4474,NaN,NaN
FOCAD,-0.2568247519,0.8546300075
MIR491,NaN,NaN
PTPLAD2,1.5492911799,0.204364122
IFNB1,NaN,NaN
IFNW1,NaN,NaN
IFNA21,NaN,NaN
IFNA4,NaN,NaN
IFNA7,NaN,NaN
IFNA10,NaN,NaN
IFNA16,NaN,NaN
IFNA17,NaN,NaN
IFNA14,NaN,NaN
IFNA22P,-0.0127306013,NaN
IFNA5,-0.0472189909,NaN
KLHL9,1.1800933637,0.2024953102
IFNA6,2.7209444098,0.0486801616
IFNA13,NaN,NaN
IFNA2,NaN,NaN
IFNA8,NaN,NaN
IFNA1,NaN,NaN
MIR31HG,0.4592641418,NaN
IFNE,-0.22845192,NaN
MIR31,-0.0127306013,NaN
MTAP,-0.9741368726,0.4387119527
C9orf53,-0.0362339798,NaN
CDKN2A,1.563591842,0.1248570268
CDKN2B-AS1,-0.2489512538,NaN
CDKN2B,0.9360941582,0.3472720922
DMRTA1,-0.8444308014,NaN
FLJ35282,-0.6538437988,NaN
ELAVL2,-0.2069664235,NaN
IZUMO3,NaN,NaN
TUSC1,-0.5119275957,0.7546202306
LOC100506422,NaN,NaN
CAAP1,-0.0080104457,0.9965794076
PLAA,-0.5649881687,0.6673121989
IFT74,-2.1979885364,0.1178274382
LRRC19,-0.417056104,NaN
TEK,-0.8836014403,0.4627840759
LINC00032,-0.5140139723,NaN
EQTN,-0.3869652988,NaN
MOB3B,-1.012469579,0.4531454909
IFNK,-0.1832503169,NaN
C9orf72,0.6786462877,0.6627106716
LINGO2,-0.2451580944,NaN
MIR876,NaN,NaN
MIR873,NaN,NaN
LOC401497,NaN,NaN
ACO1,-0.7568641918,0.6248905131
DDX58,3.4183966449,3.19E-05
TOPORS,-0.2243302177,0.8876224487
LOC100129250,2.5779181261,0.0432608857
NDUFB6,0.4686769578,0.6596129755
TAF1L,-0.0247642211,NaN
TMEM215,-0.0441911372,NaN
APTX,-2.0689164194,0.0693037321
DNAJA1,-0.6177686529,0.6430144662
SMU1,-0.3154844889,0.7866346036
B4GALT1,0.0375092799,0.9807367265
SPINK4,-0.0441911372,NaN
BAG1,-1.1262366161,0.3999079007
CHMP5,1.7465429842,0.0804879707
NFX1,-2.3822514122,0.0299195737
AQP7,-0.2951974597,NaN
AQP3,-1.4141544646,0.2532129147
NOL6,-1.4265814146,0.1941564238
SUGT1P1,-0.5246876749,NaN
ANKRD18B,-0.4308516524,NaN
ANXA2P2,-1.822147487,NaN
PTENP1,0.7816288411,NaN
PRSS3,-0.4633904001,NaN
UBE2R2,0.1338543366,0.9204025388
UBAP2,-1.4120098174,0.1937929985
SNORD121B,NaN,NaN
SNORD121A,NaN,NaN
DCAF12,0.1152683064,0.9292063117
UBAP1,0.1083079104,0.9390561344
KIF24,-0.9381412398,NaN
NUDT2,-1.0419754386,NaN
KIAA1161,-0.98596022,NaN
C9orf24,0.6039961313,0.6984585844
FAM219A,-0.493439188,0.7211938687
DNAI1,1.8491134544,NaN
ENHO,-0.6248456422,NaN
CNTFR,-0.7592197767,NaN
LOC415056,NaN,NaN
RPP25L,-1.2491951798,NaN
DCTN3,-0.648507399,0.672420996
ARID3C,-0.0127306013,NaN
SIGMAR1,0.3894760034,0.7559060518
GALT,-2.7174642666,0.0490018528
IL11RA,-2.3893924445,0.0859601675
CCL27,-0.0472189909,NaN
CCL19,4.0493768941,7.83E-08
CCL21,-0.1850960301,0.9161253814
FAM205A,-0.0362339798,NaN
FAM205B,-0.0127306013,NaN
KIAA1045,0.4610442172,NaN
DNAJB5,-1.0206218554,0.3971284142
C9orf131,-0.7786111354,NaN
VCP,-1.4927639238,0.1250193658
FANCG,-0.712907408,0.642638397
PIGO,-2.6148292576,0.0559095527
STOML2,-1.425439118,0.2067390589
FAM214B,-3.3534775432,0.0060922609
UNC13B,-2.8223367896,0.0098931632
ATP8B5P,-1.0209988678,NaN
RUSC2,-1.7216350185,0.1403905539
FAM166B,-0.9064576658,NaN
TESK1,0.8792174794,0.5081247856
MIR4667,NaN,NaN
CD72,-1.5625256126,NaN
SIT1,-1.2189727331,NaN
RMRP,0.2775673472,0.8796174256
CCDC107,-2.6385030187,0.0536696268
ARHGEF39,-1.402812235,NaN
CA9,-0.1714989571,NaN
TPM2,-1.022306025,0.4444661142
TLN1,0.6533892491,0.3780512887
CREB3,-0.8082725887,0.4481142619
GBA2,-2.1421441298,0.0455918197
RGP1,-1.6618943527,NaN
MSMP,-1.109610416,NaN
NPR2,-2.810380991,0.0396772054
SPAG8,-1.2203168733,NaN
HINT2,-1.9103150629,0.1581101923
FAM221B,-0.0127306013,NaN
TMEM8B,-0.9121250093,0.5576907703
FP588,-0.824673554,NaN
OR13J1,-0.0635296015,NaN
HRCT1,-1.29051991,NaN
LOC158376,-1.2942043401,NaN
OR2S2,-0.0232011249,NaN
RECK,-2.8478382614,0.0369313192
GLIPR2,-0.5641045141,0.7171111693
CCIN,-0.3745643499,NaN
CLTA,0.1209947058,0.9197042066
GNE,-0.2728435392,0.8599766633
RNF38,-0.873041872,0.4646427522
MELK,-0.4964839113,NaN
MIR4475,NaN,NaN
PAX5,-0.0679534862,NaN
MIR4540,NaN,NaN
MIR4476,NaN,NaN
LOC100506710,-1.1560531027,0.3291157735
ZCCHC7,-2.9725748146,0.0279304097
GRHPR,-1.5112759302,0.2047288034
ZBTB5,-3.2775853318,0.0155732456
POLR1E,-3.1507143394,0.0098397065
FBXO10,-1.9858247674,NaN
TOMM5,0.9286759126,0.3591759406
FRMPD1,-0.0871423128,NaN
TRMT10B,0.2238102637,NaN
EXOSC3,0.8206177918,0.5597712661
DCAF10,1.725876536,0.0835995371
SLC25A51,0.6264185469,0.6769911888
SHB,-0.0705069435,0.9710780743
ALDH1B1,-0.3537759898,0.801945485
IGFBPL1,-0.4673498671,NaN
LOC100289137,-0.4018124949,NaN
ANKRD18A,-0.3626865277,NaN
FAM201A,-0.2602848135,NaN
CNTNAP3,-0.9207733234,NaN
SPATA31A1,NaN,NaN
SPATA31A2,NaN,NaN
LOC653501,NaN,NaN
ZNF658B,NaN,NaN
FAM74A1,NaN,NaN
SPATA31A3,NaN,NaN
FAM74A3,NaN,NaN
ZNF658,-0.6434800271,NaN
SPATA31A4,NaN,NaN
SPATA31A5,NaN,NaN
SPATA31A7,NaN,NaN
MGC21881,-1.2327791101,NaN
KGFLP2,-0.5219295129,NaN
LOC643648,-0.0247642211,NaN
ANKRD20A2,NaN,NaN
ANKRD20A3,NaN,NaN
FAM95B1,-0.4726838218,NaN
FOXD4L2,NaN,NaN
FOXD4L4,NaN,NaN
LOC286297,-0.0558826286,NaN
AQP7P3,-0.0362339798,NaN
LOC642929,-0.2066732707,NaN
SPATA31A6,NaN,NaN
CNTNAP3B,0.0532926176,NaN
FAM27C,NaN,NaN
FAM27A,-0.1490566753,NaN
KGFLP1,-0.5162038354,NaN
FAM74A4,NaN,NaN
FAM74A2,NaN,NaN
PTGER4P2-CDK2AP2P2,-0.3291885596,NaN
AQP7P1,-0.8782933535,NaN
FAM27B,NaN,NaN
ANKRD20A1,NaN,NaN
LOC642236,3.8731133277,NaN
LOC100132352,-0.4551645658,NaN
PGM5P2,-0.3553762927,NaN
LOC440896,-1.3583872345,NaN
FOXD4L6,NaN,NaN
CBWD6,-1.8401274395,NaN
ANKRD20A4,NaN,NaN
LOC100133920,NaN,NaN
FOXD4L5,-0.0362339798,NaN
CBWD3,-0.4018124949,NaN
CBWD5,NaN,NaN
FOXD4L3,NaN,NaN
PGM5-AS1,-0.1286279534,NaN
PGM5,-2.0106541883,0.1438044101
TMEM252,3.1279467247,NaN
PIP5K1B,-2.1819064532,NaN
FAM122A,0.6187035159,0.6685002886
PRKACG,NaN,NaN
FXN,-0.0178670306,0.9934813549
TJP2,-1.3712822716,0.2877539821
BANCR,-0.9836988956,NaN
FAM189A2,-2.0132512934,0.1084737685
APBA1,-1.7898263812,NaN
PTAR1,0.2010883126,0.9000386837
LOC494558,NaN,NaN
C9orf135,2.01092855,0.120396134
MAMDC2,-2.49568177,0.070594424
LOC100507244,-0.0362339798,NaN
LOC100507299,-0.5295783225,NaN
SMC5,0.1029801459,0.9337023743
KLF9,-1.7244691063,0.0967991402
TRPM3,-0.7526069998,NaN
MIR204,NaN,NaN
TMEM2,-1.954399387,0.076949761
FAM108B1,-0.9904404585,0.4476012301
C9orf85,-1.421370491,NaN
C9orf57,NaN,NaN
GDA,-0.4278320344,NaN
ZFAND5,-0.9350264928,0.4146541817
TMC1,-0.3538931889,NaN
ALDH1A1,1.0888618935,0.4030253147
ANXA1,-1.0823972917,0.2326836076
RORB,-0.4180372526,NaN
TRPM6,-1.1682663967,0.4590669349
C9orf40,0.4967435259,0.7514157692
C9orf41,-0.6970289787,NaN
NMRK1,0.89292253,0.3589309989
OSTF1,-0.3271121352,0.772134676
PCSK5,-0.4536476536,0.7837149569
RFK,-0.740294764,0.5605357422
RPSAP9,-0.6384465895,NaN
GCNT1,0.1954344383,NaN
PRUNE2,0.5915089208,0.7339786316
PCA3,-0.0127306013,NaN
FOXB2,NaN,NaN
VPS13A-AS1,-0.0362339798,NaN
VPS13A,-0.5328865258,0.7235632661
GNA14,-0.1179454385,0.9408451363
GNAQ,1.718678581,0.153244587
CEP78,-0.2773518881,NaN
PSAT1,1.8864626318,NaN
TLE4,2.5922733127,0.0001695727
TLE1,-1.3290009229,0.2953316755
SPATA31D5P,NaN,NaN
SPATA31D4,NaN,NaN
SPATA31D3,NaN,NaN
SPATA31D1,-0.0127306013,NaN
RASEF,-2.3065119666,0.0980051185
FRMD3,0.2531582356,0.8860066848
IDNK,0.4600856841,0.7856035505
UBQLN1,-0.3903048833,0.7292214761
GKAP1,0.1297823211,0.9403485867
KIF27,-1.2353188485,NaN
C9orf64,-0.4429598238,0.7820167812
HNRNPK,-1.0826230317,0.1749775694
MIR7-1,-1.0670861847,NaN
RMI1,0.9368957929,NaN
SLC28A3,1.6492552128,NaN
NTRK2,-2.4745459248,0.0755149319
AGTPBP1,-0.26396654,0.8546300075
LOC389765,-1.1407812292,NaN
NAA35,-3.0677778775,0.0225884479
GOLM1,0.4798438429,0.7618000394
C9orf153,-0.4027778978,NaN
ISCA1,-1.466308001,NaN
ZCCHC6,-0.1776270718,0.9089395627
GAS1,1.7389646838,NaN
LOC100506834,-0.2294131231,NaN
LOC440173,-0.0815314786,NaN
LOC494127,NaN,NaN
C9orf170,1.0792347745,NaN
DAPK1,-0.618251494,0.6502613164
CTSL1,-1.7067143148,0.1645481503
CTSL3P,NaN,NaN
CTSL1P8,NaN,NaN
LOC392364,-0.0247642211,NaN
SPATA31E1,NaN,NaN
SPATA31C1,-0.22870819,NaN
CDK20,-2.3113904811,NaN
SPATA31C2,NaN,NaN
SPIN1,-1.9132215829,0.0654373423
NXNL2,-0.151452841,NaN
LOC286238,NaN,NaN
MIR4289,NaN,NaN
C9orf47,-1.3425076106,NaN
S1PR3,-0.5895015932,0.6424805504
SHC3,-2.3009202253,0.0982713152
CKS2,-0.316585789,0.8432875427
MIR3153,-0.0127306013,NaN
SECISBP2,-0.9028789785,0.4659633114
SEMA4D,0.3887107483,0.7710074126
GADD45G,-3.5135689084,0.0071303951
UNQ6494,-0.0472189909,NaN
LOC286370,NaN,NaN
MIR4290,NaN,NaN
LOC340515,NaN,NaN
DIRAS2,-0.0127306013,NaN
SYK,-0.3522066478,0.7893385042
LOC100129316,-0.2382551573,NaN
AUH,-2.0116673595,NaN
NFIL3,1.4941267483,0.0635011062
MIR3910-1,NaN,NaN
MIR3910-2,NaN,NaN
ROR2,1.0953365595,0.3771139991
SPTLC1,0.0318563214,0.9863422915
LOC100128076,NaN,NaN
LINC00475,-0.0815314786,NaN
IARS,-0.4675866787,0.7024295666
MIR3651,NaN,NaN
SNORA84,-0.0127306013,NaN
NOL8,-3.5721925743,0.0053955387
CENPP,-1.0647100966,NaN
OGN,0.1612671224,0.932000276
OMD,-1.000507265,NaN
ASPN,0.9672563259,0.5453681477
ECM2,-2.3132735513,0.0979955209
MIR4670,NaN,NaN
IPPK,-2.7556468202,0.0439879137
LOC100128361,-1.0711798227,NaN
BICD2,-1.8190142753,0.0902846432
ANKRD19P,-1.2738228514,NaN
ZNF484,-0.6096754707,NaN
FGD3,0.2097278895,0.8877480689
SUSD3,2.2513176739,0.077782536
C9orf89,-0.2962347983,0.8422533911
NINJ1,0.9033663794,0.3753972456
WNK2,-0.7089969187,NaN
C9orf129,-0.4937256579,NaN
FAM120AOS,-0.5091607785,0.7293538468
FAM120A,-0.0800064311,0.9682763382
PHF2,-0.4722553895,0.7501643058
MIR4291,NaN,NaN
BARX1,-0.0362339798,NaN
PTPDC1,-2.4758260053,0.0708235646
MIRLET7A1,-0.2312654443,NaN
MIRLET7F1,-0.0965089511,NaN
MIRLET7DHG,-0.4218277255,NaN
MIRLET7D,-0.7272729021,NaN
ZNF169,-1.0116792405,NaN
FAM22F,-0.0815314786,NaN
LOC100132077,-0.0815314786,NaN
HIATL1,-0.8237363774,0.4975768688
FBP2,-0.0577779504,NaN
FBP1,-2.210124588,0.0942005222
C9orf3,-0.9677998505,0.400384997
MIR2278,-0.0472189909,NaN
MIR23B,-0.2458685433,NaN
MIR27B,-0.4869022592,NaN
MIR3074,-0.2567320472,NaN
MIR24-1,NaN,NaN
FANCC,-2.3852117883,NaN
PTCH1,-1.5390625987,0.3032872792
LOC100507346,-0.1364887046,NaN
LINC00476,-1.7525928855,NaN
ERCC6L2,-1.0485511799,NaN
LINC00092,1.4429957308,NaN
LOC158435,-0.1704955008,NaN
LOC158434,-0.0441911372,NaN
HSD17B3,-0.6774800387,NaN
SLC35D2,-1.1976008632,0.3487644494
ZNF367,-1.023245181,NaN
HABP4,-2.7208982673,0.0371366933
CDC14B,-1.918013736,0.1578916986
AAED1,-0.4383560926,0.7618000394
LOC441455,-0.6646225163,NaN
ZNF510,0.5177404606,0.724129322
ZNF782,-1.3107609154,NaN
LOC100132781,-0.0679534862,NaN
LOC441454,-0.0872912526,NaN
FAM22G,-0.1308493914,NaN
HIATL2,-1.226564836,NaN
CTSL2,-1.4428278492,NaN
LOC340508,NaN,NaN
LOC100499484,2.2356432785,NaN
LOC100499484-C9ORF174,NaN,NaN
C9orf174,NaN,NaN
LOC286359,NaN,NaN
TDRD7,1.9584756257,0.0419010514
TMOD1,-2.5041651893,0.0374459113
TSTD2,-1.607012945,NaN
NCBP1,-0.0666431788,0.9701567743
XPA,-2.6140709761,0.0571710328
FOXE1,-0.0736443519,NaN
C9orf156,0.1390369404,0.9245592612
HEMGN,-0.2458685433,NaN
ANP32B,-0.320616161,0.7888702718
NANS,-1.099665842,0.3844582616
TRIM14,1.3069303706,0.1733506331
CORO2A,-0.1513394443,0.9270586789
TBC1D2,-2.1531048698,0.0493698025
GABBR2,-0.5057366919,NaN
ANKS6,-0.797456554,0.5423709296
GALNT12,0.1708706316,0.9242543229
COL15A1,-0.4141506953,0.7873734102
TGFBR1,-2.9573639365,0.011495531
ALG2,0.8623837296,0.4931633164
SEC61B,-0.0701263473,0.9647184492
NR4A3,-0.4845108298,0.6004840804
LOC441461,-0.5235495908,NaN
STX17,0.3240501881,0.8329295757
ERP44,1.0407797423,0.3415086489
INVS,-2.0864023763,NaN
TEX10,-2.1806287538,0.0688157499
MSANTD3,-0.897077774,0.5374683414
MSANTD3-TMEFF1,NaN,NaN
TMEFF1,-0.1364887046,NaN
MURC,-0.7942788744,NaN
LPPR1,-0.5773385088,NaN
BAAT,-0.3156169246,NaN
MRPL50,-0.2109668409,0.8928781991
ZNF189,-1.1175778942,0.3394353323
ALDOB,-0.4356467257,NaN
TMEM246,-1.0228815866,NaN
RNF20,-2.0814306328,0.0777553329
GRIN3A,1.4731364035,NaN
PPP3R2,-0.1704955008,NaN
CYLC2,-0.1574192489,NaN
SMC2,0.0579490759,0.9760665521
OR13F1,NaN,NaN
OR13C4,NaN,NaN
OR13C3,NaN,NaN
OR13C8,NaN,NaN
OR13C5,NaN,NaN
OR13C2,NaN,NaN
OR13C9,-0.0127306013,NaN
OR13D1,NaN,NaN
NIPSNAP3A,0.0905170735,0.9591618309
NIPSNAP3B,-1.0585587107,NaN
LOC286367,-1.3161564603,NaN
ABCA1,0.8231166919,0.5253541969
SLC44A1,0.9538597515,0.3195733706
FSD1L,-1.0849847075,NaN
FKTN,-2.4259064485,NaN
TAL2,-0.1143314714,NaN
TMEM38B,-0.7835284318,0.6031554256
ZNF462,-1.8313052005,0.1868585199
MIR548Q,-0.0127306013,NaN
RAD23B,0.1736304242,0.8808296556
KLF4,-1.9207525124,0.1156963802
ACTL7B,-0.0247642211,NaN
ACTL7A,NaN,NaN
IKBKAP,-2.2496164555,0.053467889
FAM206A,0.3033969741,0.8365267868
CTNNAL1,-1.181798412,0.3592138077
TMEM245,-1.3036949872,0.2670753915
MIR32,NaN,NaN
FRRS1L,NaN,NaN
EPB41L4B,0.4962572068,0.7501643058
PTPN3,-2.5518706641,0.0648146438
PALM2,-1.3811442542,0.3619477363
PALM2-AKAP2,NaN,NaN
AKAP2,-0.7259036473,NaN
C9orf152,-1.1095711238,NaN
TXN,0.5825934083,0.6147232395
TXNDC8,-0.0127306013,NaN
SVEP1,0.4960036236,0.7314387222
MUSK,-0.3347776593,NaN
LPAR1,0.9057119401,0.4479076893
OR2K2,-0.0247642211,NaN
KIAA0368,-1.3394556051,0.2209058578
ZNF483,-0.9823787123,NaN
PTGR1,-1.5901412976,0.184514046
LRRC37A5P,NaN,NaN
DNAJC25,-1.2743186335,0.3156863559
DNAJC25-GNG10,NaN,NaN
GNG10,-0.677989999,NaN
C9orf84,2.2027655905,0.1177561343
UGCG,0.0563281584,0.9734299786
MIR4668,-0.0815314786,NaN
MIR3134,NaN,NaN
SUSD1,-0.2777315224,0.8572626505
PTBP3,0.5670812596,0.6100056447
HSDL2,0.4969754576,0.6845146949
KIAA1958,-0.6406399657,NaN
INIP,-1.9171697754,NaN
SNX30,-1.1557211646,0.3732659331
SLC46A2,-0.8272496962,NaN
ZNF883,-0.3293585832,NaN
ZFP37,-1.2803643375,NaN
FAM225B,-0.1838875825,NaN
FAM225A,-0.2150270852,NaN
SLC31A2,0.271747543,0.8190043687
FKBP15,-0.7318160305,0.5842244859
SLC31A1,-1.1086048677,NaN
CDC26,-0.7330147347,0.5867867773
PRPF4,-1.7374318897,0.1065157849
RNF183,-0.4222338652,NaN
WDR31,-0.322824396,NaN
BSPRY,-0.5686440432,0.7182251118
HDHD3,-1.1161377696,0.4213988069
ALAD,-0.847185937,0.5544118685
POLE3,-0.2972173826,0.8207158342
C9orf43,-0.3531167066,NaN
RGS3,-2.856389511,NaN
ZNF618,-2.0048874578,NaN
AMBP,-0.1329716108,NaN
KIF12,-0.1490566753,NaN
COL27A1,-1.3930380438,NaN
MIR455,NaN,NaN
ORM1,-0.5073107218,NaN
ORM2,-0.6035733106,NaN
AKNA,-1.9298462084,0.0688415956
DFNB31,-1.0998156314,NaN
ATP6V1G1,0.5169042855,0.5623894677
C9orf91,1.3895143367,0.1531794643
LOC100505478,-0.0127306013,NaN
TNFSF15,-1.025420167,0.5255953679
TNFSF8,2.5834498311,0.0035438248
TNC,-0.7908814483,0.5423709296
DEC1,-0.0362339798,NaN
LINC00474,NaN,NaN
PAPPA,1.8193214898,0.1064912198
ASTN2,-0.9731943807,NaN
LOC100128505,NaN,NaN
TRIM32,-2.2572871469,NaN
SNORA70C,NaN,NaN
TLR4,1.9176190027,0.0836918643
DBC1,-0.5604218343,NaN
MIR147A,NaN,NaN
CDK5RAP2,-1.6622214622,0.1382546007
MEGF9,0.1074942577,0.9521632048
FBXW2,-1.7168471345,0.1080626195
LOC100288842,-0.0362339798,NaN
PSMD5,1.3981425248,0.1946437189
LOC253039,-2.3865189039,0.0868328699
